source,source_type,destination,departure_times,route,distance,fare
web:nashik-to-mumbai-via-thane-shivai-bus-time-table,html,Mumbai Central Via Thane,06:15 am,,190 km,₹299 to ₹405
web:ratnagiri-bus-stand-time-table,html,Akkalkot,"6:00, 17:00, 19:00,","Sakharpa, Malkapur, Kolhapur, Hatkanangale, Jaisingpur, Miraj, Sangola, Pandharpur, Mohol, Solapur",,
web:ratnagiri-bus-stand-time-table,html,Ambajogai,"07:30,","Sakharpa, Malkapur, Kolhapur, Hatkanangale, Jaisingpur, Miraj, Sangola, Pandharpur, Barshi, Yermala, Kalamb",,
web:ratnagiri-bus-stand-time-table,html,Belgaon,"7:00, 11:30, 14:00,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Bhiwandi via Thane,"07:00,","Sangameshwar, Chiplun, Poladpur, Mahad, Mangaon, Indapur, Kolad, Ramwadi, Panvel, Nerul, Turbhe, Kalwa",,
web:ratnagiri-bus-stand-time-table,html,Borivali,"5:30, 10:00, 18:30, 19:30, 20:00,","Sangameshwar, Chiplun, Poladpur, Mahad, Mangaon, Indapur, Kolad, Ramwadi, Panvel, Nerul, Vashi, Kurla Nehru Nagar, Sion, Bandra, Goregaon, Kandivali",,
web:ratnagiri-bus-stand-time-table,html,Chiplun,"6:15, 6:45, 8:15, 9:30, 10:00, 10:30, 11:30, 12:00, 12:30, 13:15, 13:30, 14:00, 14:30, 15:15, 16:00, 16:30, 17:15, 17:30, 18:00,",via Chiplun,,
web:ratnagiri-bus-stand-time-table,html,Dapoli,"7:00, 13:45, 15:00, 15:30, 17:00,","Sangameshwar, Chiplun, Khed,",,
web:ratnagiri-bus-stand-time-table,html,Devgad,"11:15,",Via Jaitapur,,
web:ratnagiri-bus-stand-time-table,html,Devgad,"12:15, 15:00,","Hatkhamba, Pali, Lanja, Rajapur, Kharepatan, Tarla,",,
web:ratnagiri-bus-stand-time-table,html,Gadhinglaj,"10:00, 12:00,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Ganapatipule to Miraj,"18:00,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Ganapatipune to Dapoli,"08:30,",via Chiplun,,
web:ratnagiri-bus-stand-time-table,html,Gargoti,"14:30,","Pali, Nanij, Sakharpa, Malkapur, Kolhapur, Mudhal Tita,",,
web:ratnagiri-bus-stand-time-table,html,Guhagar,"07:45,",via Chiplun,,
web:ratnagiri-bus-stand-time-table,html,Guhagar,"6:45, 11:00, 13:30, 14:45, 14:45, 15:30, 18:15,",–,,
web:ratnagiri-bus-stand-time-table,html,Hubali,"08:30,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Ichalkaranji,"13:30,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Ichalkaranji,"15:45,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Islampur,"13:15,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Islampur,"13:45,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Jat,"05:30,","Pali, Nanij, Sakharpa, Malkapur, Kolhapur, Hatkanangale, Jaisingpur, Miraj, Kavthe Mahankal,",,
web:ratnagiri-bus-stand-time-table,html,Kankavali,"10:30,","Hatkhamba, Pali, Lanja, Rajapur, Kharepatan, Tarla,",,
web:ratnagiri-bus-stand-time-table,html,Khed,"13:00, 15:45,",via Chiplun,,
web:ratnagiri-bus-stand-time-table,html,Kolhapur,"6:30, 9:30, 10:30, 13:00, 14:45, 15:30, 16:00, 16:30,","Pali, Nanij, Sakharpa, Malkapur",,
web:ratnagiri-bus-stand-time-table,html,Kudal,"15:15,","Hatkhamba, Pali, Lanja, Rajapur, Kharepatan, Tarla, Kankavali, Kasal, Oros",,
web:ratnagiri-bus-stand-time-table,html,Latur,"08:15,","Pali, Nanij, Sakharpa, Malkapur, Kolhapur, Hatkanangale, Jaisingpur, Miraj, Sangola, Pandharpur, Mohol, Solapur, Tuljapur, Patoda, Ausa",,
web:ratnagiri-bus-stand-time-table,html,Malvan,"8:00, 16:00,",via Pali,,
web:ratnagiri-bus-stand-time-table,html,Malvan,"13:45,","Pawas, Purnagad, Nate, Jaitapur, Devgad, Kunkeshwar, Mithbav",,
web:ratnagiri-bus-stand-time-table,html,Mandangad,"16:15,",via Chiplun,,
web:ratnagiri-bus-stand-time-table,html,Miraj,"07:15, 13:15","Sakharpa, Malkapur, Kolhapur, Hatkanangale, Jaisingpur,",,
web:ratnagiri-bus-stand-time-table,html,Mumbai Central,"6:30, 9:30, 14:45, 21:00,","Sangameshwar, Chiplun, Poladpur, Mahad, Mangaon, Indapur, Kolad, Ramwadi, Panvel, Nerul, Vashi, Kurla Nehru Nagar, Sion, Dadar",,
web:ratnagiri-bus-stand-time-table,html,Nalasopara via Thane,"09:00,","Sangameshwar, Chiplun, Poladpur, Mahad, Mangaon, Indapur, Kolad, Ramwadi, Panvel, Nerul, Turbhe, Thane,",,
web:ratnagiri-bus-stand-time-table,html,Nanded,"12:15,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Nrusinhwadi (Narsobawadi),"12:30,","Pali, Nanij, Sakharpa, Malkapur, Kolhapur, Hupari, Rendal, Harwad",,
web:ratnagiri-bus-stand-time-table,html,Pune (Vallabh Nagar),"7:45(Shivshahi), 11:15, 20:30(Shivshahi)","Pali, Nanij, Sakharpa, Malkapur, Kokrud, Karad, Umbraj, Satara, Katraj,",,
web:ratnagiri-bus-stand-time-table,html,Pune Railway Station,"6:00, 14:15, 21:00","Pali, Nanij, Sakharpa, Malkapur, Kokrud, Karad, Umbraj, Satara, Katraj,",,
web:ratnagiri-bus-stand-time-table,html,Satara,"14:15,",via Chiplun,,
web:ratnagiri-bus-stand-time-table,html,Sawantwadi,"6:00, 7:00, 17:00,","Hatkhamba, Pali, Lanja, Rajapur, Kharepatan, Tarla, Kankavali, Kasal, Oros, Kudal,",,
web:ratnagiri-bus-stand-time-table,html,Panjim – Goa,"5:15,","Hatkhamba, Pali, Lanja, Rajapur, Kharepatan, Tarla, Kankavali, Kasal, Oros, Kudal, Sawantwadi, Banda, Patradevi, Pernem, Mapusa,",,
web:ratnagiri-bus-stand-time-table,html,Swargate – Pune,"11:00, 17:30","Pali, Nanij, Sakharpa, Malkapur, Kokrud, Karad, Umbraj, Satara, Katraj,",,
web:ratnagiri-bus-stand-time-table,html,Tasgaon,"13:35,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Tuljapur,"09:15,","Pali, Nanij, Sakharpa, Malkapur, Kolhapur, Hatkanangale, Jaisingpur, Miraj, Sangola, Pandharpur, Barshi, Yermala, Kalamb",,
web:ratnagiri-bus-stand-time-table,html,Vasai,"07:30,","Sangameshwar, Chiplun, Poladpur, Mahad, Mangaon, Indapur, Kolad, Ramwadi, Panvel, Nerul, Turbhe, Thane, Ghodbandar",,
web:ratnagiri-bus-stand-time-table,html,Vengurla,"13:45,","Hatkhamba, Pali, Lanja, Rajapur, Kharepatan, Tarla, Kankavali, Kasal, Oros, Kudal",,
web:ratnagiri-bus-stand-time-table,html,Vijapur,"08:00,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Vijapur,"17:45,",via Kolhapur,,
web:ratnagiri-bus-stand-time-table,html,Vijaydurg,"9:45, 13:15,",via Jaitapur,,
web:ratnagiri-bus-stand-time-table,html,Vitthalwadi,"08:00,","Sangameshwar, Chiplun, Poladpur, Mahad, Mangaon, Indapur, Kolad, Ramwadi, Panvel, Dombivali, Kalyan",,
web:ratnagiri-bus-stand-time-table,html,Ganpatipule,"9:15, 11:30, 12:15, 13:00, 12:15, 13:00, 13:30, 15:15, 18:30, 19:15, 19:30,",–,,
web:ratnagiri-bus-stand-time-table,html,Ganpatipule via Aare Ware,"7:15, 11:15, 12:00, 16:15, 18:15,",Aare Ware,,
web:ratnagiri-bus-stand-time-table,html,Jaigad via Ganpatipule,"5:45, 8:00, 9:00, 11:30, 12:30, 14:00, 14:30, 15:30, 17:30,",Ganpatipule,,
web:ratnagiri-bus-stand-time-table,html,Devrukh via Pangri,"6:15,7:00, 7:30, 8:00, 8:30, 9:30, 9:45, 10:00, 10:30, 10:45, 11:00, 11:30, 11:45, 12:00, 12:15, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:15, 17:30, 18:00, 18:15, 19:00, 19:30, 20:00",Pangri,,
web:ratnagiri-bus-stand-time-table,html,Devrukh via Sangve,"9:45, 17:15",Sangve,,
web:ratnagiri-bus-stand-time-table,html,Devrukh via Talekante,"8:15, 13:00, 16:15",Talekante,,
web:ratnagiri-bus-stand-time-table,html,Warvade via Ganpatipule,"10:15, 13:30, 10:15, 15:15, 18:30",Ganpatipule,,
web:ratnagiri-bus-stand-time-table,html,Kotwade via Jambharun,"7:00, 8:45, 13:00, 15:45, 18:45,",–,,
web:ratnagiri-bus-stand-time-table,html,Jakadevi,"8:15, 14:!5,",–,,
web:ratnagiri-bus-stand-time-table,html,Kharvate,"8:00, 12:00, 18:00",–,,
web:ratnagiri-bus-stand-time-table,html,Nivali,"8:15, 12:45,",–,,
web:ratnagiri-bus-stand-time-table,html,Jambhari,"11:30, 17:00, 17:30, 18:00",–,,
web:ratnagiri-bus-stand-time-table,html,Dhamanse,19:00,–,,
web:ratnagiri-bus-stand-time-table,html,Ril,14:45,–,,
web:ratnagiri-bus-stand-time-table,html,Chave Deud,14:45,–,,
web:ratnagiri-bus-stand-time-table,html,Saitwade,"7:00, 12:00",–,,
web:ratnagiri-bus-stand-time-table,html,Khandala,"13:00, 13:30, 18:30",–,,
web:ratnagiri-bus-stand-time-table,html,Nevendi,13:15,–,,
web:ratnagiri-bus-stand-time-table,html,Kurtade,"7:15, 14:15, 18:30",Kajarghati,,
web:ratnagiri-bus-stand-time-table,html,Oshi,"7:45, 13:45",Kajarghati,,
web:ratnagiri-bus-stand-time-table,html,Bhatkar Kond,8:30,Kajarghati,,
